year,aggregate_stability,organic_matter,active_carbon
2016,93.06,3.66,553.44
2016,25.89,2.76,446.34
2016,38.73,2.38,435.06
2016,23.16,2.61,429.43
2016,35.76,2.55,448.22
2016,38.28,2.43,403.12
2016,36.02,2.61,483.92
2016,31.69,2.51,542.17
2016,15.84,2.08,427.55
2016,28.47,2.53,506.47
2016,40.92,3.14,474.52
2016,20.16,2.53,391.85
2016,38.55,2.40,435.06
2016,29.87,2.87,536.53
2016,30.32,2.72,502.71
2016,59.16,3.07,570.35
2016,70.39,2.54,497.07
2016,43.07,2.78,540.29
2016,18.11,2.52,570.35
2016,28.29,2.71,493.31
2016,33.59,2.38,472.64
2016,20.23,2.56,474.62
2016,22.54,2.44,456.21
2016,26.34,3.07,557.46
2016,18.66,2.34,467.26
2016,31.04,2.22,432.28
2016,42.07,2.73,570.34
2016,32.83,2.77,529.85
2016,30.60,2.72,555.62
2016,32.11,2.72,546.41
2016,49.38,2.16,413.88
2016,63.84,2.61,564.82
2016,47.16,2.50,435.97
2016,42.00,2.81,520.64
2016,34.62,2.54,474.62
2016,36.80,3.22,607.16
2016,37.33,2.54,603.48
2016,41.49,2.70,625.57
2016,33.83,2.75,485.67
2016,33.88,2.81,535.37
2016,43.61,2.51,485.67
2016,31.42,2.74,509.60
2016,27.30,2.41,456.21
2016,30.94,2.29,276.83
2015,33.10,2.90,490.00
2015,26.40,2.80,418.00
2015,62.60,3.20,524.00
2015,20.80,2.80,390.00
2015,27.60,3.00,430.00
2015,35.90,3.10,517.00
2015,23.80,3.10,402.00
2015,23.60,2.50,347.00
2015,23.10,2.50,354.00
2015,31.30,3.40,545.00
2015,54.80,2.50,457.00
2015,32.60,2.10,450.00
2015,31.90,2.60,434.00
2015,35.40,2.00,458.00
2015,28.10,2.20,323.00
2015,28.30,2.10,421.00
2015,25.60,2.50,696.00
2015,20.20,2.20,342.00
2015,27.30,2.10,180.00
2015,15.00,2.10,229.00
2017,23.54,2.65,494.29
2017,29.68,3.01,513.70
2017,44.17,2.25,400.73
2017,30.89,2.45,282.47
2017,22.93,2.73,324.83
2017,38.91,2.82,360.13
2017,21.32,2.33,278.94
2017,20.40,2.81,416.62
2017,27.33,2.49,319.54
2017,18.88,2.47,317.77
2017,42.91,2.98,485.46
2017,31.34,2.49,307.18
2017,30.95,2.37,289.53
2017,54.49,2.60,365.43
2017,31.39,2.55,474.87
2017,17.54,2.43,383.08
2017,36.03,2.47,418.38
2017,46.04,2.60,411.32
2017,30.72,2.90,471.34
2017,45.11,2.73,330.13
2017,63.25,3.16,319.54
2017,39.68,2.65,446.63
2017,37.58,2.61,476.63
2017,25.15,2.65,469.57
2017,12.91,2.46,425.44
2017,17.47,2.56,293.02
2017,28.60,3.14,463.01
2017,24.54,2.30,301.96
2017,13.83,2.59,330.59
2017,30.51,2.46,312.70
2017,31.02,3.12,398.59
2017,43.39,3.31,471.96
2017,19.71,2.63,409.33
2017,24.69,3.37,491.64
2017,30.68,2.41,409.33
2017,26.36,2.53,337.75
2017,30.94,2.76,386.07
2017,41.16,2.82,369.96
2017,38.01,3.04,350.28
2017,36.04,2.89,400.38
2017,38.76,2.48,459.43
2017,28.37,3.08,488.06
2017,26.07,2.55,425.43
2017,14.94,2.45,377.12
2017,13.99,2.25,332.38
2017,27.91,2.63,499.30
2017,56.10,2.80,474.51
2017,30.47,2.76,474.51
2017,36.75,2.62,486.91
2017,33.91,2.58,424.95
2017,22.38,2.17,318.74
2017,19.75,2.17,375.39
2017,30.08,2.43,396.63
2017,17.77,2.74,345.29
2017,37.93,3.01,424.95
2017,18.58,2.69,419.64
2017,33.35,2.67,414.33
2017,32.25,2.45,410.79
2017,36.93,2.57,389.55
2017,33.69,2.67,398.40
2017,20.93,3.09,478.05
2017,12.44,2.75,400.17
2017,28.64,1.93,244.39
2017,16.33,2.53,419.64
2017,25.44,2.58,392.97
2017,18.37,2.65,368.34
2017,20.44,2.66,371.86
2017,27.32,2.71,426.40
2017,22.33,3.07,452.79
2017,22.13,3.79,486.22
2017,21.01,2.56,378.90
2017,34.02,2.83,378.90